mainsL1Volts,mainsL2Volts,mainsL3Volts,mainsL1L2Volts,mainsL2L3Volts,mainsL3L1Volts,mainsL1Current,mainsL2Current,mainsL3Current,mainsECurrent,mainsL1Watts,mainsL2Watts,mainsL3Watts,mainsL1VA,mainsL2VA,mainsL3VA,mainsTotalVA,mainsL1VAr,mainsL2VAr,mainsL3VAr,mainsTotalVAr,mainsPowerFactorL1,mainsPowerFactorL2,mainsPowerFactorL3,mainsAvgPowerFactor,genL1Volts,genL2Volts,genL3Volts,genL1L2Volts,genL2L3Volts,genL3L1Volts,genL1Current,genL2Current,genL3Current,genECurrent,genL1Watts,genL2Watts,genL3Watts,genL1VA,genL2VA,genL3VA,genTotalVA,genL1VAr,genL2VAr,genL3VAr,genTotalVAr,genPowerFactorL1,genPowerFactorL2,genPowerFactorL3,genAvgPowerFactor,engOilPress,engFuelLevel,engChargeAltVolts,engBatteryVolts,engSpeedDisplay,engineFuelLevelUnits
0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,,0.0,78.0,0.0,116.0,0.0,39.0
0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,,0.0,79.0,0.0,116.0,0.0,39.0
0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,,0.0,78.0,0.0,117.0,0.0,39.0
0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,,0.0,60.0,0.0,97.0,0.0,29.0
0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,,0.0,66.0,2.0,123.0,0.0,33.0
0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,,0.0,78.0,0.0,116.0,0.0,39.0
0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,,0.0,78.0,0.0,116.0,0.0,39.0
0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,,0.0,79.0,0.0,116.0,0.0,39.0
0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,,0.0,78.0,0.0,117.0,0.0,39.0
0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,,0.0,78.0,0.0,116.0,0.0,39.0
